iter	Passed	Remaining
0	0	61
1	1	71
2	2	73
3	3	74
4	3	73
5	4	72
6	5	71
7	6	70
8	6	69
9	7	68
10	8	67
11	9	66
12	9	64
13	10	64
14	11	63
15	12	67
16	16	81
17	17	79
18	18	79
19	20	80
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	27	73
27	27	71
28	28	70
29	29	69
30	30	67
31	31	65
32	31	64
33	32	62
34	33	61
35	33	60
36	34	58
37	35	57
38	35	55
39	36	54
40	36	52
41	37	51
42	37	50
43	38	48
44	38	47
45	39	46
46	39	44
47	40	43
48	40	42
49	41	41
50	41	40
51	42	39
52	42	37
53	43	36
54	43	35
55	44	34
56	44	33
57	45	32
58	45	31
59	46	30
60	46	29
61	47	28
62	47	27
63	48	27
64	48	26
65	49	25
66	49	24
67	50	23
68	50	22
69	51	21
70	51	21
71	52	20
72	52	19
73	53	18
74	53	17
75	53	17
76	54	16
77	54	15
78	55	14
79	55	13
80	56	13
81	56	12
82	57	11
83	57	10
84	58	10
85	58	9
86	59	8
87	59	8
88	60	7
89	60	6
90	60	6
91	61	5
92	61	4
93	62	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
