iter	Passed	Remaining
0	135	135392
1	136	68300
2	139	46341
3	142	35448
4	143	28469
5	145	24078
6	146	20754
7	148	18391
8	150	16529
9	151	15030
10	152	13727
11	154	12702
12	156	11862
13	157	11125
14	159	10488
15	161	9930
16	162	9413
17	164	8947
18	164	8515
19	166	8146
20	167	7820
21	168	7505
22	169	7212
23	170	6951
24	171	6707
25	172	6474
26	173	6262
27	174	6066
28	175	5875
29	176	5699
30	177	5541
31	178	5384
32	178	5237
33	179	5097
34	180	4967
35	180	4844
36	181	4728
37	182	4621
38	183	4514
39	183	4410
40	184	4312
41	184	4218
42	185	4128
43	186	4042
44	186	3958
45	187	3881
46	187	3809
47	188	3740
48	189	3670
49	189	3602
50	190	3537
51	190	3474
52	191	3414
53	191	3355
54	192	3301
55	192	3248
56	193	3197
57	193	3147
58	194	3101
59	195	3057
60	195	3013
61	196	2969
62	196	2927
63	197	2885
64	197	2847
65	198	2809
66	199	2772
67	199	2736
68	200	2701
69	200	2666
70	201	2632
71	201	2600
72	202	2568
73	202	2537
74	203	2507
75	204	2480
76	204	2451
77	204	2423
78	205	2395
79	205	2368
80	206	2342
81	206	2317
82	207	2289
83	207	2265
84	208	2241
85	208	2220
86	209	2200
87	210	2179
88	210	2158
89	211	2137
90	211	2116
91	212	2095
92	212	2075
93	213	2055
94	213	2037
95	214	2020
96	215	2003
97	215	1986
98	216	1968
99	216	1950
100	217	1933
101	217	1916
102	218	1900
103	218	1884
104	219	1868
105	219	1854
106	220	1841
107	221	1827
108	221	1813
109	222	1799
110	223	1786
111	223	1773
112	224	1759
113	224	1746
114	225	1734
115	225	1722
116	226	1708
117	226	1696
118	227	1684
119	228	1672
120	228	1660
121	228	1647
122	229	1635
123	229	1623
124	230	1612
125	230	1601
126	231	1590
127	231	1580
128	232	1569
129	232	1559
130	233	1548
131	233	1538
132	234	1527
133	234	1518
134	235	1508
135	236	1499
136	236	1490
137	237	1481
138	237	1472
139	238	1463
140	238	1454
141	239	1444
142	239	1435
143	239	1426
144	240	1417
145	240	1409
146	241	1401
147	242	1394
148	242	1386
149	243	1379
150	243	1371
151	244	1363
152	245	1356
